排名,学校,综合得分,地区
1,清华大学,129.25,北京
2,北京大学,116,北京
3,浙江大学,112.22,浙江
4,上海交通大学,100.25,上海
5,武汉大学,94.55,湖北
6,华中科技大学,89.31,湖北
7,南京大学,82.31,江苏
8,复旦大学,82.25,上海
9,四川大学,79.28,四川
10,中山大学,77.29,广东
11,吉林大学,72.15,吉林
12,哈尔滨工业大学,69.84,黑龙江
13,西安交通大学,69.19,陕西
14,中南大学,69.03,湖南
15,山东大学,68.85,山东
16,东南大学,62.67,江苏
17,中国科学技术大学,61.16,安徽
18,中国人民大学,60.75,北京
19,天津大学,59.12,天津
20,华南理工大学,58.13,广东
21,同济大学,57.71,上海
22,苏州大学,53.11,江苏
23,北京航空航天大学,53.07,北京
24,北京师范大学,51.88,北京
25,湖南大学,49.87,湖南
26,重庆大学,49.41,重庆
27,西北工业大学,49.06,陕西
28,南开大学,47.24,天津
29,厦门大学,47.2,福建
30,大连理工大学,45.67,辽宁
31,华东师范大学,43.39,上海
32,北京理工大学,42.56,北京
33,郑州大学,40.99,河南
34,电子科技大学,40.6,四川
35,中国农业大学,36.29,北京
36,武汉理工大学,36.25,湖北
37,兰州大学,35.48,甘肃
38,江苏大学,35.36,江苏
39,西北农林科技大学,35.32,陕西
40,西南大学,34.78,重庆
41,上海大学,34.38,上海
42,南京航空航天大学,32.86,江苏
43,南京理工大学,32.25,江苏
44,东北大学,31.68,辽宁
45,江南大学,29.3,江苏
46,南京农业大学,29.17,江苏
47,北京科技大学,29.11,北京
48,西南交通大学,28.66,四川
49,华东理工大学,27.7,上海
50,河海大学,27.7,江苏
51,西安电子科技大学,27.69,陕西
52,华北电力大学,27.56,北京
53,暨南大学,27.49,广东
54,南昌大学,27.48,江西
55,南京师范大学,26.98,江苏
56,中国矿业大学,26.88,江苏
57,哈尔滨工程大学,26.88,黑龙江
58,华中师范大学,26.27,湖北
59,北京化工大学,26.14,北京
60,南京医科大学,25.9,江苏
61,深圳大学,25.87,广东
62,华中农业大学,25.52,湖北
63,扬州大学,24.54,江苏
64,南京工业大学,24.45,江苏
65,北京交通大学,24.44,北京
66,浙江工业大学,24.35,浙江
67,首都医科大学,24.15,北京
68,福州大学,24.04,福建
69,陕西师范大学,23.79,陕西
70,合肥工业大学,23.57,安徽
71,河南大学,23.24,河南
72,青岛大学,23.19,山东
73,北京工业大学,23.06,北京
74,西北大学,22.36,陕西
75,南京林业大学,22.36,江苏
76,南京信息工程大学,22.21,江苏
77,中国海洋大学,21.99,山东
78,中国石油大学(华东),21.55,山东
79,上海理工大学,21.23,上海
80,华南师范大学,21.22,广东
81,华南农业大学,21.18,广东
82,南方医科大学,21.14,广东
83,中国地质大学(武汉),21.11,湖北
84,东北师范大学,20.7,吉林
85,北京邮电大学,19.89,北京
86,宁波大学,19.44,浙江
87,南京邮电大学,19.26,江苏
88,燕山大学,19.25,河北
89,中南财经政法大学,18.73,湖北
90,山东师范大学,18.71,山东
91,温州医科大学,18.68,浙江
92,北京林业大学,18.11,北京
93,湖南师范大学,17.74,湖南
94,重庆医科大学,17.73,重庆
95,安徽大学,17.66,安徽
96,昆明理工大学,17.42,云南
97,东华大学,17.42,上海
98,中国医科大学,17.34,辽宁
99,浙江师范大学,17.32,浙江
100,广东工业大学,17.31,广东
101,山东科技大学,17.09,山东
102,太原理工大学,17.05,山西
103,中国药科大学,17.01,江苏
104,济南大学,16.92,山东
105,上海财经大学,16.91,上海
106,南通大学,16.9,江苏
107,中国政法大学,16.89,北京
108,西南财经大学,16.65,四川
109,贵州大学,16.48,贵州
110,四川农业大学,16.45,四川
111,哈尔滨医科大学,16.43,黑龙江
112,山西大学,16.41,山西
113,湘潭大学,16.4,湖南
114,中央财经大学,16.36,北京
115,长安大学,16.2,陕西
116,广西大学,15.8,广西
117,江苏师范大学,15.77,江苏
118,中国石油大学（北京）,15.74,北京
119,中国地质大学（北京）,15.69,北京
120,对外经济贸易大学,15.69,北京
121,云南大学,15.32,云南
122,河南师范大学,15.16,河南
123,首都师范大学,15.12,北京
124,天津医科大学,14.76,天津
125,南京中医药大学,14.72,江苏
126,浙江理工大学,14.48,浙江
127,福建农林大学,14.47,福建
128,福建师范大学,14.46,福建
129,杭州电子科技大学,14.43,浙江
130,河南科技大学,14.33,河南
131,曲阜师范大学,14.26,山东
132,山东农业大学,14.24,山东
133,东北林业大学,14.2,黑龙江
134,广州大学,14.12,广东
135,武汉科技大学,14.05,湖北
136,上海师范大学,13.94,上海
137,北京中医药大学,13.88,北京
138,河北工业大学,13.8,河北
139,西北师范大学,13.75,甘肃
140,安徽医科大学,13.73,安徽
141,东北农业大学,13.67,黑龙江
142,华东政法大学,13.45,上海
143,广州医科大学,13.45,广东
144,河北大学,13.27,河北
145,江西师范大学,13.13,江西
146,西安理工大学,13.08,陕西
147,黑龙江大学,12.82,黑龙江
148,西南石油大学,12.75,四川
149,西安建筑科技大学,12.75,陕西
150,西南政法大学,12.71,重庆
151,河南理工大学,12.71,河南
152,广州中医药大学,12.6,广东
153,青岛科技大学,12.6,山东
154,华侨大学,12.56,福建
155,江西财经大学,12.49,江西
156,安徽师范大学,12.48,安徽
157,南方科技大学,12.38,广东
158,四川师范大学,12.21,四川
159,中国矿业大学（北京）,12.2,北京
160,中北大学,11.99,山西
161,湖北大学,11.96,湖北
162,石河子大学,11.91,新疆
163,常州大学,11.9,江苏
164,广东外语外贸大学,11.84,广东
165,海南大学,11.77,海南
166,杭州师范大学,11.69,浙江
167,大连海事大学,11.68,辽宁
168,西南科技大学,11.67,四川
169,辽宁大学,11.59,辽宁
170,中国传媒大学,11.5,北京
171,陕西科技大学,11.47,陕西
172,三峡大学,11.32,湖北
173,山东理工大学,11.31,山东
174,山东财经大学,11.29,山东
175,上海中医药大学,11.23,上海
176,福建医科大学,11.22,福建
177,江苏科技大学,11.15,江苏
178,重庆邮电大学,11.13,重庆
179,东北财经大学,11.11,辽宁
180,长沙理工大学,11.01,湖南
181,浙江工商大学,10.99,浙江
182,大连医科大学,10.94,辽宁
183,北京外国语大学,10.93,北京
184,成都理工大学,10.9,四川
185,新疆大学,10.85,新疆
186,天津工业大学,10.82,天津
187,湖南农业大学,10.76,湖南
188,河北医科大学,10.72,河北
189,兰州理工大学,10.57,甘肃
190,中央民族大学,10.5,北京
191,河南农业大学,10.42,河南
192,哈尔滨理工大学,10.41,黑龙江
193,湖南科技大学,10.31,湖南
194,首都经济贸易大学,10.23,北京
195,温州大学,10.19,浙江
196,长江大学,10.17,湖北
197,中南民族大学,10.17,湖北
198,河北农业大学,10.15,河北
199,青岛农业大学,10.05,山东
200,广西师范大学,9.92,广西
