学校,省份,类别,排名,总分
清华大学,北京,理工,1,95.3
北京大学,北京,综合,2,78.6
浙江大学,浙江,综合,3,73.9
上海交通大学,上海,综合,4,73.1
复旦大学,上海,综合,5,66.0
中国科学技术大学,安徽,理工,6,61.9
南京大学,江苏,综合,7,59.8
华中科技大学,湖北,理工,8,59.1
中山大学,广东,综合,9,58.6
哈尔滨工业大学,黑龙江,理工,10,57.4
同济大学,上海,理工,11,56.4
武汉大学,湖北,综合,12,55.5
东南大学,江苏,综合,13,55.3
西安交通大学,陕西,综合,14,54.2
北京航空航天大学,北京,理工,15,54.0
南开大学,天津,综合,16,53.9
四川大学,四川,综合,17,53.3
天津大学,天津,理工,18,52.4
华南理工大学,广东,理工,19,51.8
北京师范大学,北京,师范,20,51.7
北京理工大学,北京,理工,21,51.1
厦门大学,福建,综合,22,50.9
吉林大学,吉林,综合,23,50.2
山东大学,山东,综合,24,50.0
大连理工大学,辽宁,理工,25,49.7
中南大学,湖南,综合,26,49.5
苏州大学,江苏,综合,27,48.8
对外经济贸易大学,北京,财经,28,47.7
西北工业大学,陕西,理工,29,47.6
中国人民大学,北京,综合,30,47.5
湖南大学,湖南,综合,31,47.4
华东师范大学,上海,师范,32,46.5
电子科技大学,四川,理工,33,46.4
华东理工大学,上海,理工,34,45.5
重庆大学,重庆,综合,35,45.2
南京航空航天大学,江苏,理工,35,45.2
北京科技大学,北京,理工,37,44.5
南京理工大学,江苏,理工,37,44.5
上海财经大学,上海,财经,39,44.3
中国农业大学,北京,农业,40,43.7
上海大学,上海,综合,41,43.6
东北大学,辽宁,理工,42,43.5
华中师范大学,湖北,师范,43,43.3
南方科技大学,广东,综合,43,43.3
北京交通大学,北京,理工,45,43.0
首都医科大学,北京,医药,46,42.9
武汉理工大学,湖北,理工,47,42.8
北京化工大学,北京,理工,48,42.4
北京邮电大学,北京,理工,48,42.4
东华大学,上海,理工,48,42.4
北京外国语大学,北京,语言,51,42.1
天津医科大学,天津,医药,52,42.0
中央财经大学,北京,财经,52,42.0
西安电子科技大学,陕西,理工,54,41.9
南京医科大学,江苏,医药,55,41.7
暨南大学,广东,综合,56,41.6
兰州大学,甘肃,综合,57,41.4
江南大学,江苏,综合,58,40.8
华北电力大学,北京,理工,59,40.5
中国海洋大学,山东,综合,60,40.3
哈尔滨工程大学,黑龙江,理工,61,40.2
中国地质大学（武汉）,湖北,理工,61,40.2
华中农业大学,湖北,农业,63,40.1
南京师范大学,江苏,师范,63,40.1
东北师范大学,吉林,师范,65,40.0
西南财经大学,四川,财经,66,39.9
福州大学,福建,理工,67,39.8
中国药科大学,江苏,医药,67,39.8
中国地质大学（北京）,北京,理工,69,39.7
上海外国语大学,上海,语言,70,39.6
南京农业大学,江苏,农业,71,39.5
北京工业大学,北京,理工,72,39.2
河海大学,江苏,理工,72,39.2
西南交通大学,四川,理工,74,39.1
中国医科大学,辽宁,医药,74,39.1
西南大学,重庆,综合,76,39.0
南方医科大学,广东,医药,77,38.8
中南财经政法大学,湖北,财经,77,38.8
南京信息工程大学,江苏,理工,79,38.4
江苏大学,江苏,综合,80,38.3
中国石油大学（华东）,山东,理工,80,38.3
合肥工业大学,安徽,理工,82,38.2
上海中医药大学,上海,医药,83,38.1
中国矿业大学,江苏,理工,83,38.1
浙江工业大学,浙江,理工,85,38.0
北京中医药大学,北京,医药,86,37.9
华侨大学,福建,综合,86,37.9
西北农林科技大学,陕西,农业,86,37.9
北京林业大学,北京,林业,89,37.8
东北财经大学,辽宁,财经,89,37.8
南京邮电大学,江苏,理工,91,37.7
深圳大学,广东,综合,91,37.7
中央民族大学,北京,民族,91,37.7
南京工业大学,江苏,理工,94,37.6
中国政法大学,北京,政法,94,37.6
大连医科大学,辽宁,医药,96,37.5
中国石油大学（北京）,北京,理工,97,37.3
西北大学,陕西,综合,98,37.2
中国传媒大学,北京,语言,98,37.2
宁波大学,浙江,综合,100,36.8
扬州大学,江苏,综合,100,36.8
华南师范大学,广东,师范,102,36.7
陕西师范大学,陕西,师范,102,36.7
浙江师范大学,浙江,师范,104,36.5
首都经济贸易大学,北京,财经,105,36.4
西交利物浦大学,江苏,综合,105,36.4
首都师范大学,北京,师范,107,36.2
浙江理工大学,浙江,理工,107,36.2
广东外语外贸大学,广东,语言,109,36.1
湖南师范大学,湖南,师范,110,35.9
汕头大学,广东,综合,110,35.9
燕山大学,河北,理工,110,35.9
杭州电子科技大学,浙江,理工,113,35.8
广西医科大学,广西,医药,114,35.7
南京财经大学,江苏,财经,115,35.6
中国矿业大学（北京）,北京,理工,115,35.6
哈尔滨医科大学,黑龙江,医药,117,35.5
安徽大学,安徽,综合,118,35.4
河北医科大学,河北,医药,118,35.4
湖北大学,湖北,综合,120,35.3
河北工业大学,天津,理工,121,35.2
云南大学,云南,综合,121,35.2
大连海事大学,辽宁,理工,123,35.1
上海理工大学,上海,理工,123,35.1
湘潭大学,湖南,综合,125,35.0
长安大学,陕西,理工,126,34.8
杭州师范大学,浙江,师范,126,34.8
太原理工大学,山西,理工,128,34.6
重庆医科大学,重庆,医药,129,34.5
浙江工商大学,浙江,财经,130,34.3
沈阳药科大学,辽宁,医药,131,34.1
上海对外经贸大学,上海,财经,132,33.9
温州医科大学,浙江,医药,132,33.9
上海师范大学,上海,师范,134,33.7
南昌大学,江西,综合,135,33.5
浙江财经大学,浙江,财经,135,33.5
广西大学,广西,综合,137,33.4
江西财经大学,江西,财经,137,33.4
辽宁大学,辽宁,综合,137,33.4
青岛大学,山东,综合,137,33.4
武汉科技大学,湖北,理工,137,33.4
东北农业大学,黑龙江,农业,142,33.3
华南农业大学,广东,农业,143,33.2
广东工业大学,广东,理工,144,33.0
山西大学,山西,综合,145,32.8
安徽医科大学,安徽,医药,146,32.7
东北林业大学,黑龙江,林业,147,32.6
徐州医科大学,江苏,医药,147,32.6
郑州大学,河南,综合,147,32.6
广州医科大学,广东,医药,150,32.5
三峡大学,湖北,综合,150,32.5
黑龙江大学,黑龙江,综合,152,32.4
上海海事大学,上海,理工,153,32.3
福建医科大学,福建,医药,154,32.1
河北大学,河北,综合,154,32.1
江苏师范大学,江苏,师范,154,32.1
广西师范大学,广西,师范,157,32.0
济南大学,山东,综合,157,32.0
石家庄铁道大学,河北,理工,157,32.0
天津师范大学,天津,师范,157,32.0
北京体育大学,北京,体育,161,31.9
武汉工程大学,湖北,理工,161,31.9
北京工商大学,北京,财经,163,31.8
天津财经大学,天津,财经,164,31.7
北京物资学院,北京,财经,165,31.6
天津工业大学,天津,理工,165,31.6
长沙理工大学,湖南,理工,167,31.5
中南民族大学,湖北,民族,167,31.5
渤海大学,辽宁,综合,169,31.4
湖北工业大学,湖北,理工,169,31.4
南京审计大学,江苏,财经,169,31.4
南京中医药大学,江苏,医药,169,31.4
河北师范大学,河北,师范,173,31.3
河南大学,河南,综合,173,31.3
中国人民公安大学,北京,政法,173,31.3
广州大学,广东,综合,176,31.2
山东师范大学,山东,师范,176,31.2
四川农业大学,四川,农业,176,31.2
常州大学,江苏,理工,179,31.1
南通大学,江苏,综合,179,31.1
中国民航大学,天津,理工,181,31.0
广州中医药大学,广东,医药,182,30.9
北京建筑大学,北京,理工,183,30.8
安徽财经大学,安徽,财经,184,30.7
天津中医药大学,天津,医药,184,30.7
武汉纺织大学,湖北,理工,184,30.7
江苏科技大学,江苏,理工,187,30.6
重庆工商大学,重庆,财经,188,30.5
河北科技大学,河北,理工,188,30.5
温州大学,浙江,综合,188,30.5
华北理工大学,河北,综合,191,30.4
辽宁工业大学,辽宁,理工,191,30.4
青岛科技大学,山东,理工,191,30.4
西安理工大学,陕西,理工,191,30.4
北方工业大学,北京,理工,195,30.3
重庆邮电大学,重庆,理工,195,30.3
昆明医科大学,云南,医药,195,30.3
云南师范大学,云南,师范,195,30.3
长春理工大学,吉林,理工,199,30.2
福建师范大学,福建,师范,199,30.2
